image,width,height,filter,strategy,threads,iterations,avg_ms,throughput_mpix_s,speedup_vs_sequential
512.jpg,512,512,motion9,columns,2,20,33.398275,7.849028,1.883876
512.jpg,512,512,motion9,columns,4,20,21.857090,11.993545,2.878618
512.jpg,512,512,motion9,columns,8,20,18.488535,14.178733,3.403094
512.jpg,512,512,motion9,grid,1,20,66.932470,3.916545,0.940025
512.jpg,512,512,motion9,grid,2,20,33.418440,7.844292,1.882740
512.jpg,512,512,motion9,grid,4,20,22.214330,11.800671,2.832326
512.jpg,512,512,motion9,grid,8,20,18.175035,14.423301,3.461794
512.jpg,512,512,median3,sequential,1,20,18.059360,14.515686,1.000000
512.jpg,512,512,median3,pixels,1,20,19.338885,13.555280,0.933837
512.jpg,512,512,median3,pixels,2,20,15.322895,17.107994,1.178587
512.jpg,512,512,median3,pixels,4,20,11.701335,22.402914,1.543359
512.jpg,512,512,median3,pixels,8,20,8.701960,30.124708,2.075321
512.jpg,512,512,median3,rows,1,20,18.769975,13.966135,0.962141
512.jpg,512,512,median3,rows,2,20,10.156155,25.811343,1.778169
512.jpg,512,512,median3,rows,4,20,6.168605,42.496480,2.927625
512.jpg,512,512,median3,rows,8,20,5.143725,50.963844,3.510950
512.jpg,512,512,median3,columns,1,20,19.100320,13.724587,0.945500
512.jpg,512,512,median3,columns,2,20,10.090705,25.978760,1.789703
512.jpg,512,512,median3,columns,4,20,6.255710,41.904756,2.886860
512.jpg,512,512,median3,columns,8,20,4.987485,52.560359,3.620935
512.jpg,512,512,median3,grid,1,20,18.774880,13.962486,0.961890
512.jpg,512,512,median3,grid,2,20,10.153140,25.819008,1.778697
512.jpg,512,512,median3,grid,4,20,6.355845,41.244555,2.841378
512.jpg,512,512,median3,grid,8,20,5.155625,50.846212,3.502846
512.jpg,512,512,median5,sequential,1,20,76.502785,3.426594,1.000000
512.jpg,512,512,median5,pixels,1,20,75.497200,3.472235,1.013320
512.jpg,512,512,median5,pixels,2,20,45.137425,5.807686,1.694886
512.jpg,512,512,median5,pixels,4,20,26.379445,9.937434,2.900091
